ID,Issue Text,Severity,File Name,Line Number
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/_distutils_hack/__init__.py,64
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/_distutils_hack/__init__.py,65
B613,A Python source file contains bidirectional control characters ('\u202e').,HIGH,./.venv/lib/python3.11/site-packages/bandit/plugins/trojansource.py,22
B411,Using xmlrpclib to parse untrusted XML data is known to be vulnerable to XML attacks. Use defusedxml.xmlrpc.monkey_patch() function to monkey-patch xmlrpclib and mitigate XML vulnerabilities.,HIGH,./.venv/lib/python3.11/site-packages/distlib/compat.py,42
B411,Using xmlrpc.client to parse untrusted XML data is known to be vulnerable to XML attacks. Use defusedxml.xmlrpc.monkey_patch() function to monkey-patch xmlrpclib and mitigate XML vulnerabilities.,HIGH,./.venv/lib/python3.11/site-packages/distlib/compat.py,81
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/compat.py,633
B324,Use of weak MD5 hash for security. Consider usedforsecurity=False,HIGH,./.venv/lib/python3.11/site-packages/distlib/database.py,1007
B404,Consider possible security implications associated with the subprocess module.,LOW,./.venv/lib/python3.11/site-packages/distlib/index.py,11
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/distlib/index.py,58
B603,subprocess call - check for execution of untrusted input.,LOW,./.venv/lib/python3.11/site-packages/distlib/index.py,193
B324,Use of weak MD5 hash for security. Consider usedforsecurity=False,HIGH,./.venv/lib/python3.11/site-packages/distlib/index.py,269
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/locators.py,945
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/manifest.py,115
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/manifest.py,330
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/manifest.py,342
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/markers.py,77
B101,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,LOW,./.venv/lib/python3.11/site-packages/distlib/metadata.py,897
